Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1996-01-01,MODILUFT,EQ,25.3,25.3,26.25,24.8,,25.0,25.48,12700,32362000000.0,,,
1996-01-02,MODILUFT,EQ,25.0,25.0,25.5,22.4,,22.4,23.36,49600,115886500000.0,,,
1996-01-03,MODILUFT,EQ,22.4,21.0,23.5,21.0,,21.85,22.34,15200,33956500000.0,,,
1996-01-04,MODILUFT,EQ,21.85,22.0,23.5,21.85,,22.55,22.4,5300,11871000000.0,,,
1996-01-05,MODILUFT,EQ,22.55,22.7,23.0,22.3,,22.4,22.58,6200,14001000000.0,,,
1996-01-08,MODILUFT,EQ,22.4,22.4,23.0,22.0,,22.05,22.46,8300,18641500000.0,,,
1996-01-09,MODILUFT,EQ,22.05,22.05,24.25,20.1,,21.65,22.52,12000,27027500000.0,,,
1996-01-10,MODILUFT,EQ,21.65,21.65,23.25,19.5,,20.1,20.13,42700,85967000000.0,,,
1996-01-11,MODILUFT,EQ,20.1,20.1,20.75,20.0,,20.7,20.26,7900,16006500000.0,,,
1996-01-12,MODILUFT,EQ,20.7,20.7,20.7,20.0,,20.1,20.22,4000,8087500000.0,,,
1996-01-15,MODILUFT,EQ,20.1,20.0,20.0,19.5,,19.6,19.76,2600,5138500000.0,,,
1996-01-16,MODILUFT,EQ,19.6,19.6,19.75,18.85,,19.05,19.3,11500,22190500000.0,,,
1996-01-17,MODILUFT,EQ,19.05,20.95,21.0,20.0,,20.35,20.69,13300,27512000000.0,,,
1996-01-18,MODILUFT,EQ,20.35,20.35,20.0,19.4,,20.0,19.7,1600,3152000000.0,,,
1996-01-19,MODILUFT,EQ,20.0,20.4,20.4,19.65,,19.75,19.91,3200,6372000000.0,,,
1996-01-22,MODILUFT,EQ,19.75,19.75,20.0,19.2,,19.7,19.68,4300,8464500000.0,,,
1996-01-23,MODILUFT,EQ,19.7,19.7,19.75,18.9,,18.95,19.24,8000,15389000000.0,,,
1996-01-24,MODILUFT,EQ,18.95,18.95,19.7,18.55,,19.4,19.24,5900,11350500000.0,,,
1996-01-25,MODILUFT,EQ,19.4,19.4,18.9,18.55,,18.9,18.68,6200,11580000000.0,,,
